Model,R2 Score,MAE,MSE,RMSE
Gradient Boosting Regressor,0.9831267080346855,0.6187424121275682,0.5325817328183279,0.7297819762218904
Random Forest Regressor,0.9826204301171082,0.6139000000000019,0.5485616833333314,0.7406495010012033
Decision Tree Regressor,0.9310914968293178,0.9850000000000001,2.175,1.4747881203752624
Linear Regression,0.899438024100912,1.4607567168117603,3.1740973539761033,1.78159966153345
